integ((abs(IT("/I17/out")) * VT("/net3"))) X,integ((abs(IT("/I17/out")) * VT("/net3"))) Y
4,5.039873920571357e-15
4.290097,6.366153103177415e-15
4.601232,5.714066786527452e-15
4.934932,6.498618883421574e-15
5.292834,6.63938817209296e-15
5.676692,7.346470424346274e-15
6.088389,8.162741649650363e-15
6.529944,7.886820872689252e-15
7.003523,8.735922423221602e-15
7.511447,9.061147475060891e-15
8.056208,9.793503983549903e-15
8.640478,1.024828508922361e-14
9.267120999999999,1.244832991136906e-14
9.939211,1.296684295772633e-14
10.66004,1.250647014771079e-14
11.43315,1.337165390771312e-14
12.26233,1.62886746527224e-14
13.15165,1.531855103559665e-14
14.10546,1.636934912966745e-14
15.12845,1.750497424881468e-14
16.22562,1.988461213326856e-14
17.40237,2.088103256632567e-14
18.66446,2.14578081457683e-14
20.01809,2.296131891973606e-14
21.46988,2.45845946191744e-14
23.02697,2.63539870978896e-14
24.69698,2.817731292747172e-14
26.4881,3.018448787906928e-14
28.40913,3.23246299665653e-14
30.46948,3.462615158313021e-14
32.67925,3.768314356489428e-14
35.04929,3.974338905513688e-14
37.5912,4.263054244957374e-14
40.31747,4.564173198706423e-14
43.24146,4.893027490221412e-14
46.37751,5.244052179221818e-14
49.741,5.620116138649816e-14
53.34842,6.026654758687221e-14
57.21747,6.45815846356538e-14
61.36712,6.923513035952473e-14
65.81771999999999,7.423476826860722e-14
70.59108999999999,7.958878859451436e-14
75.71064,8.532810713430736e-14
81.20149000000001,9.147972120149642e-14
87.09056,9.808503179921017e-14
93.40673,1.05165836505369e-13
100.181,1.127661032492098e-13
107.4465,1.209182606781414e-13
115.239,1.296481341969991e-13
123.5966,1.390180572669272e-13
132.5603,1.490342879812925e-13
142.1741,1.597934117890132e-13
152.4852,1.713883599312746e-13
163.544,1.837736207397904e-13
175.4049,1.97046900988472e-13
188.126,2.112308262516862e-13
201.7697,2.265614367875607e-13
216.4029,2.42891985491685e-13
232.0973,2.60472571708427e-13
248.9299,2.792429984552469e-13
266.9834,2.992933940499415e-13
286.3461,3.211399158299569e-13
307.1131,3.444042450911714e-13
329.3862,3.693668171271928e-13
353.2747,3.962995461307631e-13
378.8956,4.251225619647335e-13
406.3747,4.561252352154596e-13
435.8466,4.892550536525046e-13
467.456,5.249233482186561e-13
501.3579,5.632068032692586e-13
537.7184,6.042250800274539e-13
576.716,6.482387295134493e-13
618.5418,6.954243981296061e-13
663.401,7.460739924699147e-13
711.5136,8.004433191337674e-13
763.1155,8.587524232717031e-13
818.4598,9.213109135095079e-13
877.8178,9.883789250973188e-13
941.4808,1.060409870335515e-12
1009.761,1.137560371923478e-12
1082.993,1.220388953303434e-12
1161.536,1.309168767501087e-12
1245.775,1.404275001952832e-12
1336.124,1.506142327383685e-12
1433.025,1.614941412528886e-12
1536.954,1.730914020600382e-12
1648.421,1.853983461641203e-12
1767.971,1.983717123117896e-12
1896.191,2.119415960168435e-12
2033.711,2.259664424902452e-12
2181.204,2.402514628415983e-12
2339.394,2.545389529835786e-12
2509.057,2.685179867183276e-12
2691.024,2.8183555833763e-12
2886.188,2.941433497882702e-12
3095.506,3.05115822102911e-12
3320.005,3.144996435578687e-12
3560.785,3.221356062483718e-12
3819.028,3.279671978339584e-12
4096,3.32036531113578e-12
