"/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0,0,0,0,0,0,0,0,0,0,0,1.099640741402877,0,1.099613615920941,0,1.099928682594194,0,1.099925138561829,0,1.099835356551272
0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,1.099501766494601,0.022,1.099461977923744,0.022,1.099902834744879,0.022,1.09989679583242,0.022,1.099771366836914
0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,1.099261031509579,0.044,1.099199070709471,0.044,1.099856975585373,0.044,1.099846585356486,0.044,1.099658862798432
0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,1.098850335436467,0.066,1.098749776443754,0.066,1.099776409262748,0.066,1.099758335267579,0.066,1.099463345193956
0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,1.098161985003537,0.08800000000000001,1.097995010563017,0.08800000000000001,1.099636526654709,0.08800000000000001,1.099604868815078,0.08800000000000001,1.099128377538487
0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.097030819646908,0.11,1.096751310186749,0.11,1.099396921079949,0.11,1.099341387617166,0.11,1.098563768666696
0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,1.095212494817197,0.132,1.094745754311576,0.132,1.098992636356019,0.132,1.098895557279875,0.132,1.097628992167693
0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,1.092362623172207,0.154,1.091590878031985,0.154,1.098321524337526,0.154,1.098153055515731,0.154,1.096111483311887
0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,1.088026930562102,0.176,1.086770108591411,0.176,1.097226827035158,0.176,1.096937412318739,0.176,1.093702020486651
0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,1.081654214020913,0.198,1.079645643120688,0.198,1.095475342091035,0.198,1.094984205440242,0.198,1.08997440770584
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1.072632991347109,0.22,1.069487951528824,0.22,1.092734914749262,0.22,1.091913189545789,0.22,1.084380972994418
0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,1.060330192112465,0.242,1.055499616791528,0.242,1.088559859199519,0.242,1.087206948156961,0.242,1.076270689382844
0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,1.044092877853146,0.264,1.036782605106726,0.264,1.082394191088404,0.264,1.08020539972988,0.264,1.064917500533236
0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,1.023174242226644,0.286,1.012184736069271,0.286,1.073592812801151,0.286,1.070113205495132,0.286,1.049521534576039
0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.9965449039962168,0.308,0.9799151540047802,0.308,1.06143997387346,0.308,1.055990260253622,0.308,1.029129965583493
