"/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y"
0,1.099905329586449,0,1.099956020248315,0,1.099957228458439,0,1.099781177628452,0,1.099795622658472,0,0,0,0,0,0,0,0,0,0
0.022,1.099841984376495,0.022,1.099927986560935,0.022,1.099931603448503,0.022,1.099631264927839,0.022,1.099657915365867,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
0.044,1.099730184137259,0.044,1.099878126925652,0.044,1.099886003716246,0.044,1.099370189017591,0.044,1.099418524205146,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044
0.066,1.099535409175159,0.066,1.099790250465387,0.066,1.099805712575735,0.066,1.098922805135168,0.066,1.099009218152775,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066
0.08800000000000001,1.099201222884935,0.08800000000000001,1.099637182119036,0.08800000000000001,1.099666121803575,0.08800000000000001,1.098170017055657,0.08800000000000001,1.098322290232211,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001
0.11,1.098637433008944,0.11,1.099374125301938,0.11,1.099426825575252,0.11,1.096928346333641,0.11,1.097192561519257,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.132,1.097703511479028,0.132,1.09892874766909,0.132,1.099022868582877,0.132,1.094924858167524,0.132,1.09537566842611,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132
0.154,1.096186893024223,0.154,1.098186729611367,0.154,1.09835210378682,0.154,1.091772090960741,0.154,1.092527215410479,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
0.176,1.09377836110545,0.176,1.096971605318683,0.176,1.097257775099763,0.176,1.086953522433628,0.176,1.088192953785827,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176
0.198,1.090051739774497,0.198,1.095018960218359,0.198,1.095506684186858,0.198,1.079831491058895,0.198,1.081821772017106,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
0.22,1.084459407130408,0.22,1.091948564082653,0.22,1.092766685168349,0.22,1.069676746462544,0.22,1.072802376757145,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.242,1.07635043494188,0.242,1.087243029867922,0.242,1.088592110686636,0.242,1.055692337461893,0.242,1.060502005698599,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242
0.264,1.064998933555302,0.264,1.080242330013254,0.264,1.082427011015177,0.264,1.036980971841839,0.264,1.044268175535567,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264
0.286,1.049605292042403,0.286,1.070151218019955,0.286,1.073626346965852,0.286,1.012391804410817,0.286,1.023354788910216,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
0.308,1.029217109435425,0.308,1.056029740494073,0.308,1.061474459447867,0.308,0.9801374153619722,0.308,0.9967338864683298,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
0.33,1.002497800505551,0.33,1.036703939063319,0.33,1.045160014041393,0.33,0.9368232953578695,0.33,0.9626990579714946,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
0.352,0.9671715197209355,0.352,1.010484563158091,0.352,1.023653676061659,0.352,0.8738143827636788,0.352,0.9178939234063692,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352
0.3740000000000001,0.9185500784465164,0.3740000000000001,0.9744771398998616,0.3740000000000001,0.9954574968395014,0.3740000000000001,0.7732911764960019,0.3740000000000001,0.8538528576501182,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001,0.3740000000000001
0.3960000000000001,0.8421342004840235,0.3960000000000001,0.9220897223294677,0.3960000000000001,0.9578233376493466,0.3960000000000001,0.6955851117722697,0.3960000000000001,0.7586520088016798,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001,0.3960000000000001
0.4180000000000001,0.7259148384717427,0.4180000000000001,0.8286748934817377,0.4180000000000001,0.9040113102226277,0.4180000000000001,0.652150947841765,0.4180000000000001,0.6892207906665583,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001,0.4180000000000001
0.4400000000000001,0.6585163974804175,0.4400000000000001,0.6925992933014318,0.4400000000000001,0.8113006350937205,0.4400000000000001,0.6192658285093338,0.4400000000000001,0.6476117910305725,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001
0.4620000000000001,0.6181935829638713,0.4620000000000001,0.6282064983046952,0.4620000000000001,0.6866276907839232,0.4620000000000001,0.5907659252072027,0.4620000000000001,0.6152594357428026,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001
0.4840000000000002,0.5863267642111389,0.4840000000000002,0.5888793000965735,0.4840000000000002,0.6249076311218814,0.4840000000000002,0.5645630913295506,0.4840000000000002,0.5869622732450027,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002
0.5060000000000001,0.5582216164923279,0.5060000000000001,0.5573397874461242,0.5060000000000001,0.5859036708016174,0.5060000000000001,0.5397374596867432,0.5060000000000001,0.5608400442380134,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001
0.5280000000000001,0.5321780616339576,0.5280000000000001,0.529351197177091,0.5280000000000001,0.5543288575409971,0.5280000000000001,0.5158479268597757,0.5280000000000001,0.5360413691256443,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001
0.5500000000000002,0.5074202675960375,0.5500000000000002,0.5033483902216372,0.5500000000000002,0.5262244656087176,0.5500000000000002,0.4926697231750138,0.5500000000000002,0.5121491832691344,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002
0.5720000000000002,0.4835740140560993,0.5720000000000002,0.4786313257744393,0.5720000000000002,0.5000860252268733,0.5720000000000002,0.4700954397144967,0.5720000000000002,0.4889482745021952,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002
0.5940000000000002,0.460452083387455,0.5940000000000002,0.4548601788274777,0.5940000000000002,0.4752182874941103,0.5940000000000002,0.4480912033791613,0.5940000000000002,0.4663354677879126,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002
0.6160000000000002,0.4379778914482609,0.6160000000000002,0.4318813163873274,0.6160000000000002,0.4512856312356409,0.6160000000000002,0.4266789715505278,0.6160000000000002,0.444280288042235,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002
0.6380000000000002,0.4161517465949259,0.6380000000000002,0.4096530488451749,0.6380000000000002,0.4281340298474864,0.6380000000000002,0.4059336903811506,0.6380000000000002,0.4228105526974495,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002
0.6600000000000003,0.3950419787382644,0.6600000000000003,0.388218468765573,0.6600000000000003,0.4057244838735153,0.6600000000000003,0.3859903274941972,0.6600000000000003,0.4020130718991314,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003,0.6600000000000003
0.6820000000000003,0.3747907769914345,0.6820000000000003,0.3677014273490261,0.6820000000000003,0.384110862907959,0.6820000000000003,0.3670557247466096,0.6820000000000003,0.3820445262966433,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003,0.6820000000000003
0.7040000000000003,0.3556263397697418,0.7040000000000003,0.3483139010127644,0.7040000000000003,0.3634417490750948,0.7040000000000003,0.3494123479045229,0.7040000000000003,0.3631445363370688,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003,0.7040000000000003
0.7260000000000003,0.3378618749214002,0.7260000000000003,0.3303565174622727,0.7260000000000003,0.3439710038499874,0.7260000000000003,0.3333857811634459,0.7260000000000003,0.3456292922336023,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003,0.7260000000000003
0.7480000000000003,0.3218436399798074,0.7480000000000003,0.3141754399029654,0.7480000000000003,0.3260464713523678,0.7480000000000003,0.3192501597884074,0.7480000000000003,0.3298290295184772,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003,0.7480000000000003
0.7700000000000004,0.3078278999144751,0.7700000000000004,0.3000444884876376,0.7700000000000004,0.3100269262470164,0.7700000000000004,0.3071099197517714,0.7700000000000004,0.3159641910052263,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004,0.7700000000000004
0.7920000000000004,0.2958624175691766,0.7920000000000004,0.2880302224744732,0.7920000000000004,0.2961266292571709,0.7920000000000004,0.2968620478563762,0.7920000000000004,0.3040501670776176,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004,0.7920000000000004
0.8140000000000004,0.2857886141978926,0.8140000000000004,0.277969807545946,0.8140000000000004,0.2843155200906193,0.8140000000000004,0.2882675289516956,0.8140000000000004,0.2939249822858899,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004,0.8140000000000004
0.8360000000000004,0.277343055795235,0.8360000000000004,0.2695713387046835,0.8360000000000004,0.2743769110974098,0.8360000000000004,0.2810472940248706,0.8360000000000004,0.2853515843935541,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004,0.8360000000000004
0.8580000000000004,0.2702483320470466,0.8580000000000004,0.2625222710801721,0.8580000000000004,0.2660311822620964,0.8580000000000004,0.2749392400294671,0.8580000000000004,0.2780938244803581,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004,0.8580000000000004
0.8800000000000004,0.264252972207205,0.8800000000000004,0.256545068409934,0.8800000000000004,0.2590110893879867,0.8800000000000004,0.2697190052901747,0.8800000000000004,0.2719416654312689,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004,0.8800000000000004
0.9020000000000005,0.2591412620629172,0.9020000000000005,0.2514132153411917,0.9020000000000005,0.2530819319494689,0.9020000000000005,0.2652039689500387,0.9020000000000005,0.2667104706125713,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005,0.9020000000000005
