"/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0,1.099641567685811,0,1.099614355616399,0,1.099930187853423,0,1.099926614571662,0,1.099836624083057,0,0,0,0,0,0,0,0,0,0
0.022,1.099500930380124,0.022,1.099461071856856,0.022,1.099902649914051,0.022,1.099896595459572,0.022,1.099770949512662,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
0.044,1.099260190382643,0.044,1.099198157430797,0.044,1.099856789218494,0.044,1.099846382885226,0.044,1.099658441905455,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044
0.066,1.098849490642587,0.066,1.098748857443578,0.066,1.099776221361335,0.066,1.099758130674908,0.066,1.099462920956019,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066,0.066
0.08800000000000001,1.098161138988284,0.08800000000000001,1.097994088646433,0.08800000000000001,1.099636337288922,0.08800000000000001,1.099604662157748,0.08800000000000001,1.099127950495811,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001
0.11,1.097029976532848,0.11,1.096750390183737,0.11,1.099396730438412,0.11,1.099341179092532,0.11,1.098563339876412,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.132,1.09521166115158,0.132,1.094744844009151,0.132,1.098992444823048,0.132,1.098895347321205,0.132,1.097628563496873,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132
0.154,1.092361808767594,0.154,1.091589989244333,0.154,1.098321332609263,0.154,1.098152844937268,0.154,1.096111057841149,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154,0.154
0.176,1.08802614920996,0.176,1.08676925811313,0.176,1.097226636286259,0.176,1.09693720252658,0.176,1.093701603010935,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176,0.176
0.198,1.081653483742085,0.198,1.079644853166402,0.198,1.095475154196576,0.198,1.094983998717704,0.198,1.08997400524895,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198
